CNTR_ID,TOT_P_2018,TOT_P_2006,GRD_ID,TOT_P_2011,TOT_P_2021
SE,4916,5519,CRS3035RES50000mN4650000E4750000,5102,4735
NL,488124,478296,CRS3035RES50000mN3300000E4050000,485912,495844
HR,99703,0,CRS3035RES50000mN2300000E4750000,102602,95454
IT,109109,115452,CRS3035RES50000mN1850000E4800000,110004,103347
SE,158049,140884,CRS3035RES50000mN3950000E4650000,147668,161970
ES,15095,18267,CRS3035RES50000mN2250000E3200000,16843,14916
DE,298762,305116,CRS3035RES50000mN3350000E4200000,294201,299716
NO,1664,1704,CRS3035RES50000mN4000000E4150000,1736,1578
ES,495821,459629,CRS3035RES50000mN1000000E1700000,481738,512346
IT,188195,197394,CRS3035RES50000mN1600000E4650000,195617,177051
HR-HU,77886,78356,CRS3035RES50000mN2550000E4900000,82424,74068
ES,104823,109130,CRS3035RES50000mN1650000E2950000,109522,103556
CH-FR,778550,702167,CRS3035RES50000mN2650000E4100000,727809,786152
HU-RO-UA,20710,18587,CRS3035RES50000mN2850000E5250000,18541,20377
IE,1084029,956138,CRS3035RES50000mN3450000E3200000,1014434,1164413
DE-PL,157684,160854,CRS3035RES50000mN3150000E4650000,162351,145070
EL,135969,123382,CRS3035RES50000mN1450000E5700000,132536,126702
PL,162076,162845,CRS3035RES50000mN3500000E4750000,163070,154507
PL,191904,186261,CRS3035RES50000mN3300000E4750000,191294,185550
FR,98082,96542,CRS3035RES50000mN2600000E3800000,98485,95037
EL-TR,74533,68619,CRS3035RES50000mN2100000E5650000,73611,70257
EL,84492,86766,CRS3035RES50000mN1850000E5250000,85396,77999
FI-SE,23,1,CRS3035RES50000mN5050000E4750000,31,16
EL,11332,12069,CRS3035RES50000mN1650000E5250000,10923,10227
NO,16016,14904,CRS3035RES50000mN3850000E4100000,15254,23907
NO,16016,16367,CRS3035RES50000mN4300000E4050000,16214,20085
UK,423,741,CRS3035RES50000mN3750000E3300000,434,0
FR,156170,153156,CRS3035RES50000mN2750000E3750000,155499,154634
RO,111434,139088,CRS3035RES50000mN2550000E5350000,117519,98294
BG-RO,80471,107885,CRS3035RES50000mN2350000E5350000,96442,78161
AT-CZ-SK,269607,268137,CRS3035RES50000mN2850000E4800000,265182,264627
SE,0,5,CRS3035RES50000mN4950000E4650000,0,0
HR-SI,13203,0,CRS3035RES50000mN2450000E4550000,13195,12179
ES,16568,19222,CRS3035RES50000mN2100000E3150000,19167,16708
ES,40898,46085,CRS3035RES50000mN2050000E2950000,44865,39625
FR,82132,72988,CRS3035RES50000mN2350000E4000000,78720,84173
SE,54352,52567,CRS3035RES50000mN4150000E4650000,52097,54397
SE,143935,130486,CRS3035RES50000mN3650000E4550000,135405,146207
BA,183619,0,CRS3035RES50000mN2350000E4900000,204764,0
FI-NO,85,91,CRS3035RES50000mN5250000E5000000,90,82
BG-RO,311231,353654,CRS3035RES50000mN2400000E5550000,335378,275146
DE,2155398,2029341,CRS3035RES50000mN3050000E4100000,2049802,2166101
CZ-PL,246917,255995,CRS3035RES50000mN3000000E4850000,249423,233710
SE,52778,50337,CRS3035RES50000mN4350000E4650000,51250,51796
EE,50248,54412,CRS3035RES50000mN4100000E5200000,50535,47711
FR,66682,61174,CRS3035RES50000mN2900000E3900000,65511,65970
CZ-DE,250683,263985,CRS3035RES50000mN2950000E4450000,255173,246525
FR,43717,40196,CRS3035RES50000mN2250000E3850000,42462,41875
NO,6535,6741,CRS3035RES50000mN4050000E4100000,6669,6423
CZ-PL,228774,238550,CRS3035RES50000mN3050000E4800000,236893,207284
IS,7333,6876,CRS3035RES50000mN4800000E2850000,7351,0
FR,11747,11503,CRS3035RES50000mN2750000E3300000,11812,12312
UK,186350,172542,CRS3035RES50000mN3100000E3200000,175350,0
SE,42720,39625,CRS3035RES50000mN3850000E4800000,40674,44265
FR,13183,13533,CRS3035RES50000mN3000000E3500000,13710,13480
HR,51526,0,CRS3035RES50000mN2350000E4700000,50681,49988
IS,2156,1712,CRS3035RES50000mN4750000E3100000,2111,0
FI,9397,11244,CRS3035RES50000mN4600000E5100000,10273,9126
FI,37916,41815,CRS3035RES50000mN4250000E5000000,40540,37004
BA-HR,51224,0,CRS3035RES50000mN2200000E4900000,53599,40692
CY,3,0,CRS3035RES50000mN1600000E6300000,2,5
IT,1028620,998347,CRS3035RES50000mN1650000E4600000,1007596,985488
FR,122394,109011,CRS3035RES50000mN2300000E3400000,116978,127877
SE,59,90,CRS3035RES50000mN4800000E4650000,101,74
IT,811386,801718,CRS3035RES50000mN2000000E4850000,805202,786287
FI,36,55,CRS3035RES50000mN5050000E4950000,44,29
AT-CZ,153983,149624,CRS3035RES50000mN2800000E4650000,150139,155044
NL,171158,172752,CRS3035RES50000mN3350000E4000000,172907,173819
IS,62,0,CRS3035RES50000mN4850000E2950000,0,0
RO,89847,99641,CRS3035RES50000mN2700000E5450000,95012,93271
EE-LV,596,685,CRS3035RES50000mN3900000E5000000,335,306
DE,990784,945297,CRS3035RES50000mN2900000E4350000,939322,1005841
DE,578077,591463,CRS3035RES50000mN3000000E4150000,569672,582812
FI,17610,17763,CRS3035RES50000mN4550000E4900000,17918,17525
LV,17176,21844,CRS3035RES50000mN3850000E5250000,19740,16350
BA-ME,11775,0,CRS3035RES50000mN2250000E5000000,15263,0
FR,313017,282661,CRS3035RES50000mN2450000E3900000,299940,319105
IT,596627,609708,CRS3035RES50000mN2000000E4650000,597631,578553
CZ,211888,185888,CRS3035RES50000mN2950000E4650000,200693,220395
SE,26584,26022,CRS3035RES50000mN3800000E4700000,25926,27919
DE,1282811,1286082,CRS3035RES50000mN3200000E4200000,1265293,1285905
SE,12813,12273,CRS3035RES50000mN4500000E4800000,12593,15234
PL,145927,150419,CRS3035RES50000mN3100000E5000000,149312,135045
FR-IT,48771,44323,CRS3035RES50000mN2300000E4050000,46802,50867
NO,2134,1889,CRS3035RES50000mN4950000E4450000,2159,4989
NO,316388,266132,CRS3035RES50000mN4050000E4300000,290631,338136
ES,54812,58643,CRS3035RES50000mN1900000E3200000,61121,54284
CH-IT,119433,117280,CRS3035RES50000mN2500000E4100000,119824,116807
ES,662,956,CRS3035RES50000mN900000E1750000,502,550
RO,570763,635761,CRS3035RES50000mN2550000E5550000,595056,544729
SE,161,142,CRS3035RES50000mN5000000E4650000,175,165
IS,0,51,CRS3035RES50000mN5050000E2950000,91,0
FI,7633,8951,CRS3035RES50000mN4100000E5000000,8538,7304
PT,1485657,1449960,CRS3035RES50000mN1950000E2650000,1444963,1465284
AT,230426,221851,CRS3035RES50000mN2800000E4700000,223861,231058
EL,151,0,CRS3035RES50000mN1400000E5600000,152,143
BG-MK-RS,85260,102689,CRS3035RES50000mN2200000E5350000,100033,76322
ES-PT,13610,16532,CRS3035RES50000mN2000000E2850000,15297,13550
EL,35968,36329,CRS3035RES50000mN1850000E5450000,36031,32109
ES,12217,10312,CRS3035RES50000mN950000E1900000,8841,12672
PL,168128,153699,CRS3035RES50000mN3500000E4800000,161805,165835
BE-NL,1094550,1021632,CRS3035RES50000mN3100000E3850000,1056584,1112138
SE,2816,3054,CRS3035RES50000mN4300000E4550000,2866,2636
FR,36679,34994,CRS3035RES50000mN2400000E3750000,37626,36128
UK,765961,698436,CRS3035RES50000mN3150000E3500000,727879,0
ES,47220,48806,CRS3035RES50000mN1800000E2850000,49139,46828
DK-SE,1480900,1548640,CRS3035RES50000mN3600000E4450000,1619822,1898904
ES,228638,221929,CRS3035RES50000mN1700000E3000000,233153,227694
FI,15282,15768,CRS3035RES50000mN4200000E4900000,15251,15100
FR,336966,329915,CRS3035RES50000mN2800000E4000000,336247,333041
FI,2255,2349,CRS3035RES50000mN5100000E5000000,2317,2175
SE,148695,134006,CRS3035RES50000mN4000000E4650000,140000,149853
IS,615,770,CRS3035RES50000mN4900000E3200000,797,0
EL,69466,68554,CRS3035RES50000mN1700000E5500000,64821,67738
PL,66928,68420,CRS3035RES50000mN3350000E4700000,69135,60906
BG-TR,41262,55427,CRS3035RES50000mN2250000E5650000,47121,37323
AT,36124,38931,CRS3035RES50000mN2650000E4600000,37482,35517
DE-PL,139373,150092,CRS3035RES50000mN3300000E4550000,139165,139935
BG-RO,102661,126556,CRS3035RES50000mN2400000E5600000,109621,89457
HR,174987,0,CRS3035RES50000mN2500000E4800000,187304,165439
ES,12476,13753,CRS3035RES50000mN2100000E3200000,13476,12208
PL,236299,240201,CRS3035RES50000mN3200000E4900000,241660,222043
AT-IT,90203,84157,CRS3035RES50000mN2600000E4450000,87381,91409
ES,17918,19928,CRS3035RES50000mN2250000E3150000,19386,17375
FR,117378,110910,CRS3035RES50000mN2700000E3650000,115744,113711
FI,1392,1899,CRS3035RES50000mN4400000E5350000,1687,1270
EL,21,45,CRS3035RES50000mN1800000E5150000,30,2
EL,70142,71658,CRS3035RES50000mN1900000E5700000,68347,64090
SE,23709,24053,CRS3035RES50000mN3700000E4600000,23248,23590
PL,696362,688397,CRS3035RES50000mN3350000E4850000,700716,665098
IE,87935,79978,CRS3035RES50000mN3350000E3100000,87298,93067
ES,24636,27126,CRS3035RES50000mN1100000E1550000,25415,25544
ES-PT,34573,38719,CRS3035RES50000mN1850000E2800000,36697,33693
DE,522023,508790,CRS3035RES50000mN3450000E4300000,505665,526986
DE-NL,1324524,1271546,CRS3035RES50000mN3150000E4000000,1292569,1350314
IT,2934571,2888992,CRS3035RES50000mN1950000E4650000,2885298,2832172
SE,30460,26457,CRS3035RES50000mN4050000E4800000,27853,41201
ES,115363,117955,CRS3035RES50000mN2200000E3100000,117361,114127
ES,2147,2289,CRS3035RES50000mN900000E1950000,2140,2220
NO,19414,18691,CRS3035RES50000mN4350000E4150000,19108,20430
